city,lat,lng,country,iso2,admin_name,capital,population,population_proper
San Luis Acatlán,16.8072,-98.7342,Mexico,MX,Guerrero,minor,,
Apaxtla de Castrejón,18.1313,-99.9326,Mexico,MX,Guerrero,minor,,
Mazatepec,18.7269,-99.3619,Mexico,MX,Morelos,minor,,
Álvaro Obregón,19.8238,-101.0400,Mexico,MX,Michoacán de Ocampo,minor,,
Xilitla,21.3868,-98.9901,Mexico,MX,San Luis Potosí,minor,,
Santa María Huatulco,15.8500,-96.3333,Mexico,MX,Oaxaca,minor,,
Mochitlán,17.4703,-99.3703,Mexico,MX,Guerrero,minor,,
Ixhuatlán del Café,19.0500,-96.9833,Mexico,MX,Veracruz,minor,,
Huitiupán,17.1717,-92.6858,Mexico,MX,Chiapas,minor,,
Nieves,23.9961,-103.0201,Mexico,MX,Zacatecas,minor,,
Angamacutiro de la Unión,20.1500,-101.7111,Mexico,MX,Michoacán de Ocampo,minor,,
Nopalucán,19.2184,-97.8227,Mexico,MX,Puebla,minor,,
Chietla,18.5203,-98.5789,Mexico,MX,Puebla,minor,,
Huamuxtitlán,17.8167,-98.5667,Mexico,MX,Guerrero,minor,,
Quecholac,18.9572,-97.6611,Mexico,MX,Puebla,minor,,
Tarimoro,20.2886,-100.7581,Mexico,MX,Guanajuato,minor,,
Indaparapeo,19.7599,-100.9454,Mexico,MX,Michoacán de Ocampo,minor,,
Miguel Auza,24.2939,-103.4500,Mexico,MX,Zacatecas,minor,,
Tecamachalco,18.8835,-97.7334,Mexico,MX,Puebla,minor,,
Domingo Arenas,19.1400,-98.4568,Mexico,MX,Puebla,minor,,
Palmar de Bravo,18.8357,-97.5470,Mexico,MX,Puebla,minor,,
Pinos,22.2957,-101.5758,Mexico,MX,Zacatecas,minor,,
Hidalgo,25.9833,-100.4500,Mexico,MX,Nuevo León,minor,,
Villa de Arista,22.6444,-100.8490,Mexico,MX,San Luis Potosí,minor,,
Vista Hermosa de Negrete,20.2717,-102.4749,Mexico,MX,Michoacán de Ocampo,minor,,
Yehualtepec,18.7952,-97.6616,Mexico,MX,Puebla,minor,,
